,visitor,home,dates,visitor_score,home_score
709,HOU,NYK,20190123,114,110
710,ATL,CHI,20190123,121,101
711,CHO,MEM,20190123,118,107
712,DET,NOP,20190123,98,94
713,SAS,PHI,20190123,120,122
714,DEN,UTA,20190123,108,114
715,NOP,OKC,20190124,116,122
716,GSW,WAS,20190124,126,118
717,POR,PHO,20190124,120,106
718,MIN,LAL,20190124,120,105
719,WAS,ORL,20190125,95,91
720,NYK,BRK,20190125,99,109
721,MIA,CLE,20190125,100,94
722,LAC,CHI,20190125,106,101
723,TOR,HOU,20190125,119,121
724,SAC,MEM,20190125,99,96
725,DET,DAL,20190125,101,106
726,CHO,MIL,20190125,99,108
727,PHO,DEN,20190125,95,132
728,MIN,UTA,20190125,102,106
729,SAS,NOP,20190126,126,114
730,IND,MEM,20190126,103,106
731,GSW,BOS,20190126,115,111
732,PHI,DEN,20190126,110,126
733,ATL,POR,20190126,111,120
734,CLE,CHI,20190127,104,101
735,SAC,LAC,20190127,108,122
736,MIL,OKC,20190127,112,118
737,TOR,DAL,20190127,123,120
738,ORL,HOU,20190127,98,103
739,UTA,MIN,20190127,125,111
740,WAS,SAS,20190127,119,132
741,MIA,NYK,20190127,106,97
742,PHO,LAL,20190127,102,116
743,NYK,CHO,20190128,92,101
744,GSW,IND,20190128,132,100
745,BRK,BOS,20190128,104,112
746,DEN,MEM,20190128,95,92
747,ATL,LAC,20190128,123,118
748,WAS,CLE,20190129,113,116
749,MIL,DET,20190129,115,105
750,OKC,ORL,20190129,126,117
751,CHI,BRK,20190129,117,122
752,NOP,HOU,20190129,121,116
753,PHO,SAS,20190129,124,126
754,PHI,LAL,20190129,121,105
755,CHO,BOS,20190130,94,126
756,CHI,MIA,20190130,105,89
757,DAL,NYK,20190130,114,90
758,MEM,MIN,20190130,97,99
759,DEN,NOP,20190130,105,99
760,IND,WAS,20190130,89,107
761,ATL,SAC,20190130,113,135
762,UTA,POR,20190130,105,132
763,DAL,DET,20190131,89,93
764,IND,ORL,20190131,100,107
765,MIL,TOR,20190131,105,92
766,BRK,SAS,20190131,114,117
767,PHI,GSW,20190131,113,104
768,LAL,LAC,20190131,123,120
769,MEM,CHO,20190201,92,100
770,BOS,NYK,20190201,113,99
771,OKC,MIA,20190201,118,102
772,ATL,UTA,20190201,112,128
773,HOU,DEN,20190201,122,136
774,LAC,DET,20190202,111,101
775,CHI,CHO,20190202,118,125
776,BRK,ORL,20190202,89,102
777,MIL,WAS,20190202,131,115
778,DAL,CLE,20190202,111,98
779,IND,MIA,20190202,95,88
