,visitor,home,dates,visitor_score,home_score
642,CHI,ATL,20170120,93,102
643,GSW,HOU,20170120,125,108
644,SAC,MEM,20170120,91,107
645,BRK,NOP,20170120,143,114
646,UTA,DAL,20170120,112,107
647,IND,LAL,20170120,95,108
648,POR,BOS,20170121,127,123
649,WAS,DET,20170121,112,113
650,PHI,ATL,20170121,93,110
651,BRK,CHO,20170121,105,112
652,MIL,MIA,20170121,97,109
653,PHO,NYK,20170121,107,105
654,HOU,MEM,20170121,119,95
655,SAS,CLE,20170121,118,115
656,SAC,CHI,20170121,99,102
657,LAC,DEN,20170121,98,123
658,IND,UTA,20170121,100,109
659,GSW,ORL,20170122,118,98
660,LAL,DAL,20170122,73,122
661,PHO,TOR,20170122,115,103
662,DEN,MIN,20170122,108,111
663,WAS,CHO,20170123,109,99
664,LAC,ATL,20170123,115,105
665,SAS,BRK,20170123,112,86
666,SAC,DET,20170123,109,104
667,GSW,MIA,20170123,102,105
668,NYK,IND,20170123,109,103
669,HOU,MIL,20170123,114,127
670,CLE,NOP,20170123,122,124
671,OKC,UTA,20170123,97,95
672,CHI,ORL,20170124,100,92
673,LAC,PHI,20170124,110,121
674,SAS,TOR,20170124,108,106
675,BOS,WAS,20170124,108,123
676,UTA,DEN,20170124,93,103
677,MIN,PHO,20170124,112,111
678,SAC,CLE,20170125,116,112
679,HOU,BOS,20170125,109,120
680,MIA,BRK,20170125,109,106
681,ATL,CHI,20170125,119,114
682,GSW,CHO,20170125,113,103
683,TOR,MEM,20170125,99,101
684,PHI,MIL,20170125,114,109
685,OKC,NOP,20170125,114,105
686,NYK,DAL,20170125,95,103
687,LAL,POR,20170125,98,105
688,IND,MIN,20170126,109,103
689,DAL,OKC,20170126,98,109
690,PHO,DEN,20170126,120,127
691,LAL,UTA,20170126,88,96
692,SAC,IND,20170127,111,115
693,ORL,BOS,20170127,98,128
694,BRK,CLE,20170127,116,124
695,CHO,NYK,20170127,107,110
696,MIL,TOR,20170127,86,102
697,WAS,ATL,20170127,112,86
698,MIA,CHI,20170127,100,88
699,SAS,NOP,20170127,103,119
700,HOU,PHI,20170127,123,118
701,MEM,POR,20170127,109,112
702,SAC,CHO,20170128,109,106
703,DET,MIA,20170128,103,116
704,BOS,MIL,20170128,112,108
705,LAC,GSW,20170128,98,144
706,BRK,MIN,20170128,109,129
707,DEN,PHO,20170128,123,112
708,MEM,UTA,20170128,102,95
709,NYK,ATL,20170129,139,142
710,OKC,CLE,20170129,91,107
711,HOU,IND,20170129,101,120
712,WAS,NOP,20170129,107,94
713,ORL,TOR,20170129,114,113
714,PHI,CHI,20170129,108,121
715,DAL,SAS,20170129,105,101
716,GSW,POR,20170129,113,111
717,SAC,PHI,20170130,119,122
718,BRK,MIA,20170130,96,104
719,DET,BOS,20170130,109,113
720,ORL,MIN,20170130,105,111
721,CLE,DAL,20170130,97,104
722,MEM,PHO,20170130,115,96
723,NOP,TOR,20170131,106,108
724,NYK,WAS,20170131,101,117
725,SAC,HOU,20170131,83,105
726,OKC,SAS,20170131,94,108
727,CHO,POR,20170131,98,115
728,DEN,LAL,20170131,116,120
729,MIN,CLE,20170201,97,125
730,IND,ORL,20170201,98,88
731,TOR,BOS,20170201,104,109
732,NYK,BRK,20170201,95,90
733,NOP,DET,20170201,98,118
734,ATL,MIA,20170201,93,116
735,PHI,DAL,20170201,95,113
736,MEM,DEN,20170201,119,99
737,LAC,PHO,20170201,124,114
738,MIL,UTA,20170201,88,104
739,CHI,OKC,20170201,128,100
740,CHO,GSW,20170201,111,126
741,LAL,WAS,20170202,108,116
742,ATL,HOU,20170202,113,108
743,PHI,SAS,20170202,86,102
744,GSW,LAC,20170202,133,120
745,TOR,ORL,20170203,94,102
746,IND,BRK,20170203,106,97
747,MIN,DET,20170203,108,116
748,LAL,BOS,20170203,107,113
749,CHI,HOU,20170203,117,121
750,MEM,OKC,20170203,102,114
751,MIL,DEN,20170203,117,121
752,DAL,POR,20170203,108,104
753,PHO,SAC,20170203,105,103
754,ORL,ATL,20170204,86,113
755,DET,IND,20170204,84,105
756,NOP,WAS,20170204,91,105
757,PHI,MIA,20170204,102,125
758,CLE,NYK,20170204,111,104
759,MEM,MIN,20170204,107,99
760,MIL,PHO,20170204,137,112
761,DEN,SAS,20170204,97,121
762,CHO,UTA,20170204,98,105
763,GSW,SAC,20170204,106,109
764,TOR,BRK,20170205,103,95
765,LAC,BOS,20170205,102,107
766,POR,OKC,20170205,99,105
767,OKC,IND,20170206,90,93
768,LAL,NYK,20170206,121,107
769,CLE,WAS,20170206,140,135
770,UTA,ATL,20170206,120,95
771,PHI,DET,20170206,96,113
772,LAC,TOR,20170206,109,118
773,MIA,MIN,20170206,115,113
774,PHO,NOP,20170206,106,111
775,DAL,DEN,20170206,87,110
776,SAS,MEM,20170206,74,89
777,CHI,SAC,20170206,112,107
778,BRK,CHO,20170207,107,111
779,ORL,HOU,20170207,104,128
