PHI2018,Opponent/G,241.2,38.0,87.6,0.434,10.1,29.6,0.342,27.9,58.0,0.482,19.1,25.6,0.745,10.0,32.2,42.2,21.7,8.5,5.1,14.3,20.4,105.3,PHI,2018
PHI2019,Opponent/G,241.5,41.7,91.5,0.455,10.3,30.0,0.342,31.4,61.5,0.511,18.8,24.5,0.768,10.0,33.5,43.5,23.4,7.7,4.1,12.7,22.1,112.5,PHI,2019
CLE2016,Opponent/G,242.1,36.8,82.1,0.448,7.9,22.7,0.347,28.9,59.4,0.487,16.8,22.6,0.743,9.3,31.8,41.0,21.4,7.2,4.4,13.3,20.6,98.3,CLE,2016
CLE2017,Opponent/G,242.4,40.6,88.8,0.458,10.4,28.7,0.361,30.3,60.1,0.504,15.5,20.0,0.773,11.0,33.2,44.2,24.7,7.3,4.3,12.6,20.6,107.2,CLE,2017
CLE2018,Opponent/G,240.6,41.8,88.3,0.474,11.7,31.7,0.368,30.2,56.6,0.533,14.6,19.4,0.756,9.9,33.7,43.6,25.9,7.5,4.1,13.5,20.7,109.9,CLE,2018
CLE2019,Opponent/G,240.9,43.2,87.2,0.495,12.0,31.6,0.38,31.2,55.6,0.561,15.8,20.5,0.77,9.5,34.6,44.1,25.7,6.9,5.6,12.5,19.4,114.1,CLE,2019
IND2016,Opponent/G,242.4,37.4,84.9,0.44,8.3,24.8,0.334,29.1,60.1,0.484,17.4,23.2,0.751,10.7,33.8,44.5,20.8,7.7,4.5,15.8,20.4,100.5,IND,2016
IND2017,Opponent/G,242.1,38.0,84.3,0.451,10.4,29.1,0.355,27.6,55.1,0.501,19.0,24.1,0.789,10.7,33.5,44.3,22.3,8.1,5.0,14.9,19.5,105.3,IND,2017
IND2018,Opponent/G,240.9,39.4,84.8,0.465,10.6,30.4,0.349,28.8,54.4,0.53,14.8,19.5,0.757,10.2,32.8,43.0,23.2,7.0,5.2,15.5,18.5,104.2,IND,2018
IND2019,Opponent/G,240.3,38.7,86.1,0.45,11.4,32.1,0.354,27.4,54.0,0.507,15.8,21.0,0.756,10.5,33.1,43.7,24.5,7.4,5.2,15.7,20.0,104.7,IND,2019
DET2016,Opponent/G,242.4,38.8,84.2,0.461,7.3,20.5,0.355,31.5,63.7,0.495,16.5,21.0,0.783,8.8,33.7,42.5,21.5,7.1,4.5,13.4,21.6,101.4,DET,2016
DET2017,Opponent/G,241.5,38.3,83.3,0.46,9.4,25.6,0.366,29.0,57.7,0.502,16.4,21.0,0.78,8.0,34.9,42.9,23.5,6.7,4.1,12.8,17.5,102.5,DET,2017
DET2018,Opponent/G,241.5,39.1,85.2,0.459,11.1,30.8,0.359,28.0,54.4,0.515,14.6,18.9,0.776,9.2,34.5,43.8,25.2,7.3,4.9,14.8,18.4,103.9,DET,2018
DET2019,Opponent/G,242.1,39.9,85.0,0.469,9.6,27.8,0.345,30.3,57.2,0.53,17.9,23.7,0.755,9.1,34.6,43.7,23.7,6.9,5.1,14.1,21.3,107.3,DET,2019
CHI2016,Opponent/G,242.7,39.4,89.4,0.441,7.9,23.0,0.345,31.5,66.4,0.474,16.3,22.1,0.737,11.8,34.1,45.9,22.5,8.0,5.7,11.9,18.7,103.1,CHI,2016
CHI2017,Opponent/G,241.2,39.5,86.6,0.456,8.9,25.9,0.345,30.5,60.7,0.503,14.6,19.0,0.77,10.3,32.9,43.2,23.6,7.3,4.6,13.4,18.8,102.4,CHI,2017
CHI2018,Opponent/G,242.1,41.0,86.8,0.472,12.1,32.7,0.37,28.9,54.1,0.534,15.9,20.2,0.787,8.4,37.2,45.7,25.9,7.2,5.2,13.6,17.4,110.0,CHI,2018
CHI2019,Opponent/G,242.7,42.2,89.2,0.473,12.1,33.0,0.365,30.2,56.2,0.537,16.8,22.0,0.763,10.0,36.4,46.4,25.5,7.3,5.8,13.3,18.7,113.4,CHI,2019
MIL2016,Opponent/G,241.8,37.8,83.1,0.454,9.3,26.5,0.352,28.4,56.7,0.502,18.4,23.9,0.768,11.5,31.5,43.0,24.5,8.3,5.6,15.5,19.5,103.2,MIL,2016
MIL2017,Opponent/G,241.2,38.0,83.0,0.458,10.0,28.2,0.353,28.0,54.8,0.512,17.9,23.2,0.771,10.3,32.1,42.5,24.1,7.4,4.6,14.7,19.3,103.8,MIL,2017
MIL2018,Opponent/G,241.8,39.1,83.7,0.468,10.1,27.1,0.372,29.0,56.6,0.513,18.4,23.5,0.783,10.0,32.8,42.7,23.6,7.1,4.5,15.6,19.9,106.8,MIL,2018
MIL2019,Opponent/G,241.2,40.5,93.5,0.433,13.1,36.3,0.361,27.4,57.2,0.479,15.1,20.7,0.733,9.9,35.4,45.3,24.8,6.8,4.8,13.4,20.2,109.3,MIL,2019
MIA2016,Opponent/G,241.8,37.2,84.3,0.442,7.4,21.2,0.347,29.9,63.1,0.474,16.5,21.5,0.77,9.8,31.5,41.3,20.2,7.5,4.1,12.9,19.6,98.4,MIA,2016
MIA2017,Opponent/G,241.2,37.9,84.2,0.45,7.8,22.7,0.343,30.1,61.5,0.49,18.5,23.7,0.782,10.2,33.4,43.6,19.6,6.8,4.9,13.7,18.7,102.1,MIA,2017
MIA2018,Opponent/G,243.0,37.7,83.8,0.45,9.6,26.6,0.36,28.1,57.2,0.491,18.0,23.0,0.783,9.1,34.0,43.1,21.0,7.5,4.6,14.1,19.4,102.9,MIA,2018
