,player,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,team,year
496,Opponent/G,241.2,37.9,83.1,.456,6.5,19.6,.335,31.4,63.5,.494,16.2,21.4,.759,10.6,30.9,41.5,20.7,6.8,5.8,12.2,18.7,98.6,NOP,2015
497,Lg,23,18,11,23,2,3,2,28,26,21,12,10,24,10,5,5,8,3,28,28,29,11,NOP,2015
498,Team,19780,3006,6669,.451,708,1915,.370,2298,4754,.483,1702,2190,.777,836,2724,3560,1536,636,449,1073,1610,8422,TOR,2016
499,Team/G,241.2,36.7,81.3,.451,8.6,23.4,.370,28.0,58.0,.483,20.8,26.7,.777,10.2,33.2,43.4,18.7,7.8,5.5,13.1,19.6,102.7,TOR,2016
500,Lg,23,27,28,15,14,19,5,23,20,18,2,3,12,19,18,16,29,15,11,5,9,14,TOR,2016
501,Opponent,19780,2991,6732,.444,717,1922,.373,2274,4810,.473,1354,1809,.748,782,2561,3343,1781,534,442,1094,1801,8053,TOR,2016
502,Opponent/G,241.2,36.5,82.1,.444,8.7,23.4,.373,27.7,58.7,.473,16.5,22.1,.748,9.5,31.2,40.8,21.7,6.5,5.4,13.3,22.0,98.2,TOR,2016
503,Lg,23,4,4,11,17,12,29,3,7,5,6,6,8,8,4,4,12,1,20,23,3,3,TOR,2016
504,Team,19780,3211,6918,.464,725,1996,.363,2486,4922,.505,1615,2028,.796,871,2676,3547,1517,677,400,1041,1708,8762,TOR,2017
505,Team/G,241.2,39.2,84.4,.464,8.8,24.3,.363,30.3,60.0,.505,19.7,24.7,.796,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9,TOR,2017
506,Lg,18,16,22,11,21,22,13,12,13,12,3,6,8,12,23,18,30,4,12,4,23,10,TOR,2017
507,Opponent,19780,3052,6801,.449,794,2240,.354,2258,4561,.495,1519,1948,.780,831,2619,3450,1786,547,392,1200,1666,8417,TOR,2017
508,Opponent/G,241.2,37.2,82.9,.449,9.7,27.3,.354,27.5,55.6,.495,18.5,23.8,.780,10.1,31.9,42.1,21.8,6.7,4.8,14.6,20.3,102.6,TOR,2017
509,Lg,18,5,4,6,13,18,12,4,7,8,20,18,24,13,7,6,8,3,13,10,10,8,TOR,2017
510,Team,19830,3383,7169,.472,968,2705,.358,2415,4464,.541,1422,1790,.794,800,2807,3607,1995,626,500,1095,1783,9156,TOR,2018
511,Team/G,241.8,41.3,87.4,.472,11.8,33.0,.358,29.5,54.4,.541,17.3,21.8,.794,9.8,34.2,44.0,24.3,7.6,6.1,13.4,21.7,111.7,TOR,2018
512,Lg,8,3,6,7,4,3,18,13,25,3,9,13,4,14,11,14,6,18,2,6,27,4,TOR,2018
513,Opponent,19830,3149,7017,.449,731,2046,.357,2418,4971,.486,1489,1941,.767,806,2672,3478,1785,588,401,1176,1633,8518,TOR,2018
514,Opponent/G,241.8,38.4,85.6,.449,8.9,25.0,.357,29.5,60.6,.486,18.2,23.7,.767,9.8,32.6,42.4,21.8,7.2,4.9,14.3,19.9,103.9,TOR,2018
515,Lg,8,8,14,5,1,2,11,21,27,3,26,27,16,17,5,7,7,5,18,12,16,6,TOR,2018
516,Team,19880,3460,7305,.474,1015,2771,.366,2445,4534,.539,1449,1803,.804,786,2920,3706,2085,680,437,1150,1724,9384,TOR,2019
517,Team/G,242.4,42.2,89.1,.474,12.4,33.8,.366,29.8,55.3,.539,17.7,22.0,.804,9.6,35.6,45.2,25.4,8.3,5.3,14.0,21.0,114.4,TOR,2019
518,Lg,4,9,16,5,8,11,6,17,23,7,16,21,3,24,9,17,13,9,9,16,17,8,TOR,2019
519,Opponent,19880,3302,7352,.449,882,2559,.345,2420,4793,.505,1399,1829,.765,867,2804,3671,2012,622,368,1225,1683,8885,TOR,2019
520,Opponent/G,242.4,40.3,89.7,.449,10.8,31.2,.345,29.5,58.5,.505,17.1,22.3,.765,10.6,34.2,44.8,24.5,7.6,4.5,14.9,20.5,108.4,TOR,2019
521,Lg,4,9,16,5,9,10,8,10,23,6,10,12,13,18,8,13,15,17,6,10,19,9,TOR,2019
522,Team,19780,3216,7318,.439,717,2142,.335,2499,5176,.483,1520,1929,.788,950,2733,3683,1981,752,348,1127,1796,8669,BOS,2016
523,Team/G,241.2,39.2,89.2,.439,8.7,26.1,.335,30.5,63.1,.483,18.5,23.5,.788,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7,BOS,2016
524,Lg,23,7,1,24,12,11,28,12,10,19,8,12,6,3,15,6,6,2,22,12,29,5,BOS,2016
525,Opponent,19780,3075,6973,.441,643,1912,.336,2432,5061,.481,1613,2136,.755,932,2838,3770,1715,622,450,1348,1718,8406,BOS,2016
526,Opponent/G,241.2,37.5,85.0,.441,7.8,23.3,.336,29.7,61.7,.481,19.7,26.0,.755,11.4,34.6,46.0,20.9,7.6,5.5,16.4,21.0,102.5,BOS,2016
527,Lg,23,10,20,7,7,11,4,15,22,11,27,28,14,24,22,26,6,14,24,2,10,13,BOS,2016
528,Team,19755,3168,6978,.454,985,2742,.359,2183,4236,.515,1536,1903,.807,744,2698,3442,2069,617,340,1088,1686,8857,BOS,2017
529,Team/G,240.9,38.6,85.1,.454,12.0,33.4,.359,26.6,51.7,.515,18.7,23.2,.807,9.1,32.9,42.0,25.2,7.5,4.1,13.3,20.6,108.0,BOS,2017
530,Lg,25,21,18,16,3,3,14,28,28,8,10,15,3,22,22,27,4,18,23,8,21,7,BOS,2017
531,Opponent,19755,3168,7035,.450,735,2213,.332,2433,4822,.505,1570,2042,.769,883,2769,3652,1851,623,425,1141,1664,8641,BOS,2017
532,Opponent/G,240.9,38.6,85.8,.450,9.0,27.0,.332,29.7,58.8,.505,19.1,24.9,.769,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4,BOS,2017
533,Lg,25,12,15,9,7,14,2,14,13,19,25,25,9,25,20,25,12,17,23,17,11,15,BOS,2017
534,Team,19805,3141,6975,.450,939,2492,.377,2202,4483,.491,1308,1697,.771,767,2878,3645,1842,604,373,1149,1618,8529,BOS,2018
535,Team/G,241.5,38.3,85.1,.450,11.5,30.4,.377,26.9,54.7,.491,16.0,20.7,.771,9.4,35.1,44.5,22.5,7.4,4.5,14.0,19.7,104.0,BOS,2018
536,Lg,12,25,25,21,7,10,2,27,23,25,21,20,17,20,6,8,20,23,18,15,17,20,BOS,2018
537,Opponent,19805,3066,6973,.440,769,2270,.339,2297,4703,.488,1334,1748,.763,791,2804,3595,1744,594,364,1159,1571,8235,BOS,2018
